id,index,category,datetime,headline,image,source,summary,url,date
7475049,14,top news,2025-04-23 22:56:00,GE Vernova CEO says current U.S. demand for electricity is the largest since the end of WWII,https://image.cnbcfm.com/api/v1/image/107421610-1717016762050-gettyimages-1663554533-_iss2062_2m4dmgj1.jpeg?v=1717016806&w=1920&h=1080,CNBC,GE Vernova CEO Scott Strazik detailed the U.S.'s growing need for electricity.,https://www.cnbc.com/2025/04/23/ge-vernova-ceo-describes-huge-electricity-demand-in-the-us-.html,2025-04-23
7475038,15,business,2025-04-23 21:28:31,Alaska Airlines warns of slower demand as second-quarter profit outlook falls short,https://image.cnbcfm.com/api/v1/image/107355334-1704719565111-gettyimages-1905416517-776087412SB01.jpeg?v=1726153782&w=1920&h=1080,CNBC,"Alaska Airlines warned of weaker demand, pressuring airfares.",https://www.cnbc.com/2025/04/23/alaska-air-alk-1q-2025-earnings.html,2025-04-23
7475033,16,top news,2025-04-23 21:27:00,"Trump reportedly plans to exempt automakers from some tariffs; GM, Ford shares gain after hours",https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,MarketWatch,"Shares in General Motors, Ford and Jeep parent Stellantis gained in after-hours action Wednesday in the wake of a report that President Donald Trump plans to spare automakers from some tariffs.",https://www.marketwatch.com/story/trump-reportedly-plans-to-exempt-automakers-from-some-tariffs-gm-ford-shares-gain-after-hours-4e7a216d,2025-04-23
7475034,17,top news,2025-04-23 21:24:00,Here’s how Southwest is trying to stay one step ahead of weaker travel demand,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,MarketWatch,Southwest pulls guidance for this year and the next amid economic uncertainty and concerns about lower travel demand.,https://www.marketwatch.com/story/heres-how-southwest-is-trying-to-stay-one-step-ahead-of-weaker-travel-demand-a7fe3c75,2025-04-23
7475035,18,top news,2025-04-23 21:21:00,Talk of a Trump pivot on China tariffs is helping stocks — but U.S. companies want actual trade deals,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,MarketWatch,Bond-market participants worry the damage from President Trump’s tariffs could get worse without solid deals.,https://www.marketwatch.com/story/talk-of-a-trump-pivot-on-china-tariffs-is-helping-stocks-but-u-s-companies-want-actual-trade-deals-24fd7ea3,2025-04-23
7475019,19,top news,2025-04-23 21:09:00,‘Elon’s not going anywhere’: Trump White House says Musk has more DOGE work to do.,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,MarketWatch,"Elon Musk says he will spend more time at Tesla, but the White House expects him to continue “dedicating a lot of his time”’ to supporting the president.",https://www.marketwatch.com/story/elons-not-going-anywhere-trump-white-house-says-musk-has-more-doge-work-to-do-ff040c5b,2025-04-23
7475012,20,top news,2025-04-23 20:37:00,"IBM says it’s bullish despite ‘fluid’ economy, but stock falls after hours",https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,MarketWatch,"Tech-infrastructure giant IBM on Wednesday offered a solid sales outlook despite worries about the impact of a global trade war on the economy and tech spending, but its shares still fell after hours.",https://www.marketwatch.com/story/ibm-says-its-bullish-despite-fluid-economy-but-stock-falls-after-hours-94d4cfe1,2025-04-23
7475013,21,top news,2025-04-23 20:34:00,"Chipotle’s sales miss, as chain is latest to raise the alarm about spending slowdown",https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,MarketWatch,"Chipotle’s same-restaurant sales headed south in the first quarter, dashing Wall Street hopes of growth above 1%.",https://www.marketwatch.com/story/chipotles-sales-miss-as-chain-is-latest-to-raise-the-alarm-about-spending-slowdown-6e0b3593,2025-04-23
7475006,22,top news,2025-04-23 20:27:00,ServiceNow’s stock pops as earnings beat quiets ‘DOGE’ fears,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,MarketWatch,Some worried ServiceNow’s federal business would be under pressure from “DOGE” cuts. But CEO Bill McDermott said the company is benefitting from the efficiency push.,https://www.marketwatch.com/story/servicenows-stock-pops-as-earnings-beat-quiets-doge-fears-e936cde7,2025-04-23
7474991,23,top news,2025-04-23 19:45:00,Gold prices plunge in biggest one-day drop in years. Is the record rally over?,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,MarketWatch,"Gold suffered its biggest one-day drop in nearly four years Wednesday, raising questions about whether a torrid rally driven by anxiety over President Trump’s trade policies can continue.",https://www.marketwatch.com/story/gold-prices-plunge-in-biggest-one-day-drop-in-years-is-the-record-rally-over-60a2f3cf,2025-04-23
